text,label
Ina farin ciki sosai,Happy
Na yi dariya,Happy
Zuciyata cike take da murna,Happy
Eji m obi ụtọ,Happy
A na m echi obi ụtọ,Happy
M na-ama jijiji n’ụtọ,Happy
Inu mi dùn gan-an,Happy
Mo rẹrin,Happy
Okan mi kun fun ayo,Happy
Ina cikin bakin ciki,Sad
Zuciyata ta karye,Sad
Na damu sosai,Sad
Ewerela m mwute,Sad
Obi gbawara m,Sad
Achọghị m ime ihe ọ bụla,Sad
Inu mi baje pupọ,Sad
Okan mi dun pupo,Sad
Mo n rilara ibanuje,Sad
Na fusata,Angry
Ina jin haushi sosai,Angry
Zuciyata ta ɓaci,Angry
Ọ kpasuru m iwe,Angry
Enweela m iwe,Angry
Ọ bụ ihe na-ewute m,Angry
Mo binu pupọ,Angry
Inu mi n gba,Angry
Mo ti suuru tan,Angry
Ina jin tsoro,Fear
Zuciyata na rawa da tsoro,Fear
Na firgita,Fear
E nwere m egwu,Fear
Anọ m na-atụ ụjọ,Fear
Obi m na-akụ n’egwu,Fear
Mo n bẹru,Fear
Okan mi n fò,Fear
Mo wa ni iberu pupọ,Fear
Ina sonka sosai,Love
Zuciyata ta ke da ƙauna,Love
Ka yi min daɗi,Love
A hụrụ m gị n’anya,Love
Obi m juputara na ịhụnanya,Love
Ị bụ obi ụtọ m,Love
Mo nifẹ rẹ pupọ,Love
Okan mi fẹran rẹ,Love
O jẹ ayọ mi,Love
Na yi mamaki,Surprise
Ban yi tsammani haka ba,Surprise
Abin ya ba ni mamaki,Surprise
Ejuola m anya,Surprise
Ọ bụ ihe ijuanya,Surprise
Ọ gbagwojuru m anya,Surprise
Mo ya niyanju,Surprise
Mo ya niyanju pupọ,Surprise
O ṣe mi niyanju pupọ,Surprise
Ina lafiya,Neutral
Ba komai,Neutral
Zan jira kawai,Neutral
Ọ dịghị ihe,Neutral
Anọ m mma,Neutral
Echeghị m ihe ọ bụla,Neutral
Ko si nkan,Neutral
Mo wa dada,Neutral
Emi ko ni ero kankan,Neutral
