text,label
Ina farin ciki sosai,Hausa
Na yi dariya,Hausa
Zuciyata cike take da murna,Hausa
Eji m obi ụtọ,Igbo
A na m echi obi ụtọ,Igbo
M na-ama jijiji n’ụtọ,Igbo
Inu mi dùn gan-an,Yoruba
Mo rẹrin,Yoruba
Okan mi kun fun ayo,Yoruba
Ina cikin bakin ciki,Hausa
Zuciyata ta karye,Hausa
Na damu sosai,Hausa
Ewerela m mwute,Igbo
Obi gbawara m,Igbo
Achọghị m ime ihe ọ bụla,Igbo
Inu mi baje pupọ,Yoruba
Okan mi dun pupo,Yoruba
Mo n rilara ibanuje,Yoruba
Na fusata,Hausa
Ina jin haushi sosai,Hausa
Zuciyata ta ɓaci,Hausa
Ọ kpasuru m iwe,Igbo
Enweela m iwe,Igbo
Ọ bụ ihe na-ewute m,Igbo
Mo binu pupọ,Yoruba
Inu mi n gba,Yoruba
Mo ti suuru tan,Yoruba
Ina jin tsoro,Hausa
Zuciyata na rawa da tsoro,Hausa
Na firgita,Hausa
E nwere m egwu,Igbo
Anọ m na-atụ ụjọ,Igbo
Obi m na-akụ n’egwu,Igbo
Mo n bẹru,Yoruba
Okan mi n fò,Yoruba
Mo wa ni iberu pupọ,Yoruba
Ina sonka sosai,Hausa
Zuciyata ta ke da ƙauna,Hausa
Ka yi min daɗi,Hausa
A hụrụ m gị n’anya,Igbo
Obi m juputara na ịhụnanya,Igbo
Ị bụ obi ụtọ m,Igbo
Mo nifẹ rẹ pupọ,Yoruba
Okan mi fẹran rẹ,Yoruba
O jẹ ayọ mi,Yoruba
Na yi mamaki,Hausa
Ban yi tsammani haka ba,Hausa
Abin ya ba ni mamaki,Hausa
Ejuola m anya,Igbo
Ọ bụ ihe ijuanya,Igbo
Ọ gbagwojuru m anya,Igbo
Mo ya niyanju,Yoruba
Mo ya niyanju pupọ,Yoruba
O ṣe mi niyanju pupọ,Yoruba
Ina lafiya,Hausa
Ba komai,Hausa
Zan jira kawai,Hausa
Ọ dịghị ihe,Igbo
Anọ m mma,Igbo
Echeghị m ihe ọ bụla,Igbo
Ko si nkan,Yoruba
Mo wa dada,Yoruba
Emi ko ni ero kankan,Yoruba
